label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Accountant,Medical Representative,Non Cash Operations Department Specialist,Internet Assessor,Medical Representative,Senior PHP Developer,Energy Specialist,QA Intern Contractor,Quality Supervisor,Tourism Specialist,Civil Society Program Director,0.36815474621831024
IC Circuit Design Engineer,Economist Tax Analyst,Tester Quality Assurance Engineer,C C++ Software Developer Mentor Mentee,Controller,Accounting and Tax Manager,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Retail Operations Deputy Director,0.5580561851051494
Marketing Assistant,Goldsmith,Senior Java Tester,Senior Developer Team Leader,Billing Platforms Senior Specialist,Senior Methodologist,Office Manager,Medical Representative,Logistics Officer,Data Report Analyst,Web Developer,0.45907342012333313
Executive Secretary,Financial Specialist,Key Account Manager,Reporting and MIS Specialist,Production Supervisor,Chief Accountant,Marketing and Business Development Manager,Mobile and Web Applications Developer,Junior Database Specialist,Senior iOS Developer,Procurement Coordinator,0.6793337901228061
Migration Resource Center Administrative Assistant Hotline,Technical Support Specialist,Chief Accountant,Procurement Manager,Chief Accountant,C# .NET Senior Developer Team Leader,Billing Platforms Senior Specialist,Business Data Analyst,Accountant,Human Resources Manager,Merchandising Manager,0.24524324039424444
Legal Consultant,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.41248089390186055
Migration Resource Center Director,Programmer,Head of IT Division,Teller,Capability Development Specialist,"Head of Recruitment and Records Management Division, Human",PR Promotion Manager,Project Assistant,Senior Manager of Support Services,Human Resources (HR) Training,Assistant to Chief Accountant,0.6337426869762294
Chief Accountant,Accounting and Tax Assistant,Shop Manager,"Economist, Economic Research Department",Project Assistant,Insurance Specialist,Logistics Manager,"Contract Manager, Administrative and Logistics Service",Administrative Assistant,Credit and Debt Manager,"Escort; FP BB*, FSN 3",0.3190850155484109
Head of First Division of Legal Servicing of Financial System,Programmer,Senior Java Tester,IELTS Examiner,Accountant,Project Officer Monitor,Junior Lawyer,Financial Specialist Agile Product Owner,Head of Legal Department,Manual Tester,Administrative Assistant Secretary,0.5882042903072787
Legal Counsel of Second Division of Legal Servicing of Financial,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Native Near Native English Teacher,Corporate Banking Manager,Online Marketing Developer,Project Manager,Chief Security Officer,Place and Route Technical Marketing Engineer,Java Developer,Ne2rk Administrator,0.23654667158593792
IT Database Manager,Market Analyst,Financial Specialist Agile Product Owner,Programmer,"Team Leader, Improved Discourse on Tax Policy and Administration",Auditor,Database Administrator,QA Test Automation Engineer,Assistant Accountant,AutoCAD Designer,Corporate Affairs Trainee,0.7378379802877774
Legal Consultant Lawyer,Architectural Translator,PHP Developer,Chief of Construction Supervision Division,Sous Chef,Accountant,GUI Developer,Programmer,Medical Representative,Web Developer,Expert on Public Outreach,0.3117061086807569
Policy Specialist,Local Expert for Drug Information Epidemiology Comp1nt of,Secretary Referent,Communications Electronics Engineer,Program Support Coordinator,Head of Production,Database Administrator,Store Manager Director,Senior Auditor,Category Manager,Lawyer,0.7895430348389817
Translator Interpreter,Business Advisor Non Farm Rural Enterprises,"Leading Specialist, Financial Market Operations Department",Senior Java Tester,Web Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,PHP Web Software Developer,0.47420017920202395
Chief Accountant,Future Leaders' Exchange Program (FLEX),Intern for UN Resident Coordinators (UNRC) Unit,Librarian Information Specialist,Sales Manager,Proposal Writing Consultant,Marketing Specialist,Flash Developer,Territory Executive,Secretary Referent,Interior Designer,0.33178727665630103
Sales Director,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.5427186001159543
Engineer Developer,Web Designer,Public Relations Responsible,Accounting and Control Officer,Contractor Intern,Billing and Credit Control Consultant,Medical Representative,Web Developer,Java Developer,Accounting Specialist,Monitoring Project Officer,0.9050756337953935
Accountant,Expert in Entrepreneurship Policy,Junior Database Developer,Java Developer,Receptionist,Sales Assistant in accounting,Outreacher,Temporary Systems Administrator,Advertising Agent,Alpinist Technician,Accountant,0.2314868497338323
Marketing Superviser,Head of Branch Ne2rk Sales Promotion Division,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Merchandiser,Contract Administrator,MA in Journalism,Project Manager,Energy Specialist,Expediter,Finance HR Director,Ne2rk Administrator,0.7367311442576293
Administrative Manager,Expert on Public Outreach,Senior Java Tester,Web Developer,Senior Methodologist,Sales Engineer,"Leading Specialist, Financial Market Operations Department",Logistics Department Manager,Chief Engineer,Chief Accountant,Program Accountant,0.34833711063089656
Java Developer,IELTS Examiner,Projects Management Trainer,Software Engineer Database Department,Engineer,UI Web Engineer,Sales Manager,Accountant,Support Engineer,Executive Assistant,SharePoint Business Intelligence Software Design Engineer,0.07900700996152427
General Counsel,Designer,Accountant,Driver,Graduate Trainee for Technical Department,AutoCAD Designer,Medical Representative,Controller,Business Management Project Officer,Executive Director,Entertainment & Sport Manager,0.761292362831392
Managing Director,GUI Developer,Executive Assistant Office Manager,Rural Credit Advisor,Customs Clearance Officer,Web Intern Contractor,Non Cash Operations Department Specialist,Manager (Traffic Account),Controller,Programmer,Credit and Debt Manager,0.3732672745480419
Chief Accountant,Manager (Traffic Account),Environmental Specialist,Technical Consultant,Financial Analyst Budget Controller,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Head of Retail Sales Unit,IT Specialist,Non Cash Operations Department Specialist,IT Support Specialist,Shop Manager,0.5035576872397618
Airticket Sales Manager,Regional Sales Director,Mid Level Software Developer,Journalist,Contact Center Project Manager Head,Local Marketing Manager,Procurement Coordinator,Sales Manager,Family Physician General Practiti1r in the 5 year Mobile,Controller,Developer 2,0.8098877352026564
Sales Manager,System Administrator,Non Cash Operations Department Specialist,Energy Specialist,"Senior Software Engineer, Layout Processing Department (YA)",Educational Information Fair,Information Manager,Business Analyst,Food Security Specialist,Sales and Marketing Manager,Civil Society Program Director,0.2546776998893164
Administrative Assistant,AutoCAD Designer,Graduate Trainee for Technical Department,Senior Java Tester,Creative Manager,GUI Developer,Capacity Building Officer,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",.Net Developer,Procurement and Logistics Specialist,0.27112212090865967
Visual Basic Senior Software Developer,Secretary Administrative Assistant,Head of Credit Department,Marketing Expert on Mass Market Segment and Affluent Customers,Financial and Administrative Director,Translator Interpreter,Web Developer,Laundry AtA_PHONENUMBERdant,Loan Officer,"SW Integration Engineer, II AMSG",Rate Manager,0.2959468718705529
Administrative Assistant,Creative Manager,Executive Director of Credit Organization,Summer Internship,Sales Director,GUI Developer,Journalist,Contact Center Project Manager Head,"Leading Specialist, Financial Market Operations Department",Service Manager,Expediter,0.5276445475148895
Data Coordinator,Accountant,Mid level Software Developer,Assistant to the Regional Manager,Sales Manager,Deputy Chief Accountant,Plastic Cards Technical Specialist,Receptionist,Operations Coordinator,Program Manager,Software Engineer,0.012280609286881359
Legal Consultant Lawyer,Auditor,Lawyer,Assistant to Museum Shop Manager,Rural Credit Advisor,Consultant,Responsible for International Relations and Trainings,Manager,Financial Specialist,Senior JavaScript Developer,Human Resources Administrative Assistant,0.07763664154324566
Chemical Laboratory Supervisor,Intern for UN Resident Coordinators (UNRC) Unit,Secretary Referent,Future Leaders' Exchange Program (FLEX),Librarian Information Specialist,Sales Manager,Proposal Writing Consultant,Marketing Specialist,Flash Developer,Territory Executive,Health and Safety Manager,0.5150476993622516
Medical Representative,Java Developer,Bookkeeper,Branch Manager,Finance Manager,General Manager,Web Engineer,Translator Interpreter,Verification Engineer,Customer Service Agent,Pre Seller,0.11779897749433406
Accountant,Senior Java Tester,Chief Security Officer,Product Manager,AutoCAD Designer,Head of Nushikyan Print,GUI Developer,Java Developer,Corporate Affairs Trainee,Internship Program in Hunan Resources Area,Information Manager,0.20281452590523374
Senior QA Engineer,Technical Support Specialist,Director of Technical Service Department,Rural Credit Specialist,Administrative Assistant Interpreter,Senior Technical Support Engineer,iOS Developer,Corporate Affairs Trainee,Corporate Lending Relationship Manager,Designer,Office Manager Secretary,0.18694987613977757
Accounting Advisor,Internal Auditor,Information Security Responsible,Apprentice Web Developer,Executive Director,Production Supervisor,Chief Accountant,Marketing and Business Development Manager,Mobile and Web Applications Developer,Junior Database Specialist,Senior iOS Developer,0.8453064881673957
Software Developer,Accountant,Senior C++ Engineer,AutoCAD Designer,Lionbridge Internet Assessor,Senior Manager of Support Services,Logistics Manager,Controller,Salesperson,Entertainment & Sport Manager,Product Manager,0.4444737258209034
Ne2rk Expert,Senior Internal Auditor,Regional Merchandiser,Designer,Project Coordinator for Promoting Equal Rights and Equal,Accountant,Chief Accountant,Training Program for ACCA Examinations,Sales and Import Manager for Kitchen Equipment,Software Engineer Database Department,Engineer,0.3513413798555842
Controller,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Energy Specialist,Online Marketing Developer,Designer,Medical Representative,Senior Web Developer,0.09128761924840563
Web Developer,Manager (Traffic Account),Tester Quality Assurance Engineer,Web Designer,Non Cash Operations Department Specialist,Medical Representative,Master of Agribusiness Program,IN VAS Messaging Engineer,.NET Software Developer,"Deputy Chief of State Service of Food Safety, SNCOs and",Strategic Planning and Business Development Officer,0.5022400252991093
Developer in Automated Test Department,Executive Director,Institutional Capacity Development Specialist,Purchasing Specialist,"Physical Security, Health and Safety Specialist",Marketing Expert,"Merchants Acquiring Division Specialist, Card Center",Contractor Intern,Barman,Administrative Assistant Interpreter,Secretary,0.5584778369261583
Senior Quality Assurance Engineer,Secretary Registry Clerk,PHP Developer,Monitoring Specialist,AutoCAD Designer,Head of Internal Audit Department,DSP Engineer,Language Assistant for EU Twinning Project,Project Coordinator for Caring for Equality Project,Administrative Volunteers,IT Support Specialist,0.7294049438676014
Computer and Telecommunication Engineer,Executive Director,Secretary Referent,Head of Internal Audit Department,1C Developer,Project Coordinator for Promoting Equal Rights and Equal,Quality Control Operator,Administrative Assistant Interpreter,Infrastructure Specialist,Sales Consultant,Business Processes Optimization Expert,0.6081273388499446
Warehouse Manager,"Child Protection Officer, NO 2",Senior Database Engineer,Business Development Services and Market Linkages Specialist,Real Estate Asset Management Division Head,Medical Representative,System Administrator,Senior Software Engineer,"Director of Planning, Optimization and Construction",Vanadzor Branch Manager,Chief Accountant,0.23159226268908448
Sales and Customer Service Representative,Medical Representative,Web Designer,System Administrator,Financial Specialist,Energy Specialist,Senior Java Tester,Medical Representative,Non Cash Operations Department Specialist,Bellman,Educational Information Fair,0.5305961102619512
Sales Manager,Project Manager,Rural Credit Specialist,Loan Officer,Software Engineer in Vanadzor,Project Coordinator for Promoting Equal Rights and Equal,Shoe Store Manager,Secretary,Chief Accountant,Pre Service Training Language and Cultural Facilitator (LCF),Secretary Receptionist,0.5762926263637801
General Counsel,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Accountant,Energy Specialist,Java Developer,QA Intern Contractor,Branch Manager,0.46191956991514255
Management Information Systems Manager,Shop Manager,Controller,Energy Specialist,Front Office Manager,Video Clip Editor,"Leading Specialist, Financial Market Operations Department",Senior Technical Support Engineer,iOS Developer,Monitoring Specialist,Expediter,0.8815685447741527
High value Agriculture Specialist,Gegharkunik Marz Development Manager,Web Developer,Web Site Developer,Seller Consultant,Senior Quality Assurance Engineer,Ruby Software Engineer,Senior Database Developer,"Leading Specialist, Financial Market Operations Department",Shop Assistant,Leading Credit Analyst,0.1303431191693459
Sub contracting Officer,Senior CAE SEG,Native Near Native English Teacher,Corporate Banking Manager,Programmer,C C++ Software Developer,Finance and Procurement Offier EU Funded Program,Java Software Developer,"Senior Expert, Tax and Law Department",Software Test Engineer,Food Safety Regulatory Reform Consultant,0.5113582459284246
Rural Credit Advisor,Senior Manager of Support Services,Java Developer,Designer,AutoCAD Designer,Credit and Debt Manager,Medical Representative,IT Support Specialist,Designer,Project Coordinator for Promoting Equal Rights and Equal,Branch Manager,0.05376060717862225
"Post harvest, Processing & Marketing Specialist",Web Developer,Medical Representative,Database Developer,Database Administrator,Chemical Engineer,Lecturer for Public Law,Doctor,Design Engineer,Language and Cultural Facilitator (LCF) for Pre Service Training,Credit Officer in Charentsavan Branch,0.7031044115321773
Financial Officer,Public Relations Responsible,Monitoring Project Officer,IT Support Specialist,Sales Manager,Financial Analyst Budget Controller,Controller,International M1y Transfer Specialist,Secretary on Disability Issues,Designer,Executive Assistant Office Manager,0.650872292204712
Project Team Leader Chief of Party,Office Manager Secretary,Head of ICT Comp1nt,State Investments Management Trainer,Online Marketing Developer,Corporate Affairs Trainee,Increasing Public Awareness and Participation on the Monitoring,Director of Accounting & Fundraising,Loan Specialist,Technical Writer,Head of HR,0.790755283824382
Training Specialist,QA Testing Engineer,Brand Manager,Bellman,"Economist, Economic Research Department",Project Assistant,Financial Specialist,National Consultant on Energy and Energy Sector Regulatory,Senior Software Developer C++ C#,HR Assistant,Medical Representative,0.5925789279502451
Environmental & Social Impact Specialist,Procurement Coordinator,Medical Representative,Video Clip Editor,Junior Finance Specialist,HR Department Director,Receptionist in Dilijan Branch,Graphic Designer,Non Cash Operations Department Specialist,Quality Support Specialist,Tester Quality Assurance Engineer,0.562536235703368
Monitoring & Evaluation Specialist,Store Manager Director,Information Security Administrator (Ne2rk Security) CBA,Secretary on Disability Issues,Designer,English Language Courses,Executive Director,"Leading Specialist, Financial Market Operations Department",ASP.Net Developer,Human Resources Certification Institute (HRCI) Certification,Chief Financial Officer,0.06440731565909451
Irrigation Specialist,Accountant,Chief Accountant,Civil Engineer Roads,Software Architect Lead Developer,Corporate Telesales Specialist,Chief Accountant,EducationUSA Fair,Internal Communication Specialist,System Administrator,Commercial Banking Legal Documentation Clerk,0.3023770621409371
Plastic Card Technical Specialist,Web Designer,"Software Engineer, Physical Design Department",Accountant,VoIP engineer,Deputy Medical Coordinator,Senior Executive Liaison,Secretary to CEO,Teller,Lawyer,Methodologist 1 Legal Compliance and International Relations,0.8780372107732041
.Net C# C++ Software Developer,Energy Specialist,Finance Associate,Junior Expert at NA Standing Committee on Economic Affairs,Senior R&D Engineer SEG,Business Advisor Non Farm Rural Enterprises,Contractor Intern,Billing Analyst,Branch Manager,Finance Manager,Senior Java Backend Developer,0.8036683708427765
Software Developer,Chief Accountant,Medical Representative in Yerevan,Account Supervisor,Administrative Assistant Secretary,Lecturer for Public Law,Doctor,QA Engineer,Android Developer,Legal Adviser Compliance Representative,Monitoring Project Officer,0.7377325673325251
Software Engineers Java,Senior C++ Engineer,Brand Manager,Real Estate Asset Management Division Head,Audit Intern,Executive Director,Specialist Assisting to Public Administration Agencies Policy,Scoring and Data Manager,Media (Digital) ConA_PHONENUMBERt Manager,Deputy Director of Administration,Senior Technical Support Engineer,0.14288726084435777
Start up Business Trainer,GUI Developer,Software Engineer,Software Engineer Database Department,Senior Auditor,Tour Manager,Executive Assistant Office Manager,Assistant Associate Professors (5 posts),Assistant to the Prime Minister of RA Macroeconomist,Head of Retail Sales Unit,Procurement Specialist,0.872239498234333
Sales Manager,Secretary Registry Clerk,"Chief Executive Officer of ""North South Road Corridor Investment",Accountant,Sales Consultant,Translator,Programmer,Broadband Internet Consultant,Specialist of Commercial Affairs Department,Ruby Software Engineer,Junior Exploration Geologist,0.5053497074790492
Sales Manager,Senior Java Tester,Graphic Designer,Java Developer,"Deputy Chief of State Service of Food Safety, SNCOs and",Chef Cook,Chief Specialist on Centralized Passive Operations,Junior Prfessional Associate,Executive Director,Medical Representative,System Business Analyst,0.27971327676171404
Senior Software Engineer (Crystal Reports SQL),Software Developer,Maternal & Child Health (MCH) Reproductive Health (RH) Family,Receptionist,Field Engineer,Senior Java Tester,MSF Cabinet Secretary Translator,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,0.835977441627576
MA in Journalism,IT Support Specialist,Technical Support Specialist,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Legal Adviser,Translator Interpreter,Payment System Senior Specialist,Finance Associate,PHP Web Software Developer,Graphic Designer,0.5745533126021188
Yearly Caucasus Studies Course,MCA Armenia Chief Executive Officer,Senior PHP Developer,Financial Specialist,National Analytical Chemist (NAC),Software Engineer QA,Web Developer,Junior Internal Auditor,Office Manager,Senior PHP Developer,"Senior Software Engineer, Deep Submicron Department",0.3375849891951721
Leadership Courses,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Java Developer,Credit and Debt Manager,Senior Lawyer,Financial Analyst Budget Controller,System Administrator,0.544721446265746
MA in Journalism,English Language Courses,Legal Adviser,Translator Interpreter,Mid Level Software Developer,IT Support Specialist,Graphic Designer,Java Developer,Food Safety Regulatory Reform Consultant,Regional Sales Director,Tourism Manager,0.07990302008116798
Finance Officer,Controller,Finance Assitant Cashier,Research and Development Engineer,Trust Management Unit Senior Specialist,Front Office Manager,Sales Engineer,International Sales Manager,Parts and Service Sales Representative (PSSR),Mid Level Software Developer,Marketing Superviser,0.34749380698887894
Chief Cook,Bookkeeper,Chief Accountant,Receptionist Administrative Assistant,Project Program Assistant,PHP Software Developer,Receptionist Administrative Assistant,Market Facilitator,Production Manager,Chocolate and Flavour Products Technologist,Chief Financial Officer,0.47040531281294473
Technical Support Engineer,General Manager,Java or C++ backend developer for Lycos Communities,Director of Advertising Agency,Local Expert (on Elaboration of the Baseline Study for the,"Researcher, Financial System Policy and Financial Stability",Legal Adviser,Translator Interpreter,Cashier,Martuni Branch Manager,Assistant to the Chief,0.7073209297422653
Management Accountant,Brand Manager,Non Cash Operations Department Specialist,Tax Administration Expert,Financial Specialist,ASP.Net C# C++ Software Developer,Information Manager,Project Engineer,Medical Representative,QA Testing Engineer,Senior Database Engineer,0.9760712591577505
Country Program Director,Medical Representative,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,","Senior Software Engineer, Deep Submicron Department",Graphic Designer,Java Developer,Senior Java Tester,State Investments Management Trainer,"Deputy Chief of State Service of Food Safety, SNCOs and",Installation Supervisor,0.4677172824540136
Development and Outreach Coordinator,Economist Tax Analyst,Software Developer,Non Cash Operations Department Specialist,Medical Representative,Recruitment Assistant,QA Testing Engineer,Administrative Assistant,Tester Quality Assurance Engineer,Accounting and Tax Manager,Billing Administrator,0.98634902229484
Marketing Director,Medical Representative,Web Designer Developer,Base Station and Transport Administration Engineer,Bakery Section Manager,C C++ Software Engineer,Hi Tech Council Workshop on A Hands On Approach to Developing,Market Research Analyst,"Accountant Methodologist, Accounting Department",System Administrator,Senior Software Engineer,0.5867812154113741
English Armenian Translator Technical Writer,Deputy Chief Accountant,Chemist of Chemical Scientific Research Laboratory,PHP Software Developer,Web Designer,Accountant,Programme Coordinator,Graphic Designer,Game Analytics Specialist,Dealer Broker,Short Term Civil Society Development Specialist,0.9777051599641596
IEC Supervisor,C++ C# Software Developer,Contractor Intern,Human Resources Certification Institute (HRCI) Certification,.NET C# Developer,Project Management Consultant,"Assistant of the Finance, Administration and Resettlement Unit","Deputy Chief of Party (DCOP), HAPNK Program",Advocacy Specialist,Procurement Specialist,Designer,0.5904179623675749
A_PHONENUMBER Junior Faculty Development Program,Energy Specialist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Translator Interpreter,Database Administrator,Team Leader,Software Development and Testing Senior Specialist,0.024244979708006115
On Farm Development Specialist,Controller,IT Support Specialist,Web Designer Developer,Head of Service Platforms Operation Group,Sales Manager,"Specialist on Aquatic Plants, Macrophytes and Phytobenthos",Senior Cashier,Web Engineer,Clinical Psychologist,General Manager,0.8495230063774838
Sub contracting Officer,Branch Manager,Finance Manager,Training Officer,Software Development Manager,Customer Support Representative,Administrative Assistant,Project Manager,GUI Developer,Assistant in Accounting Department,Driver,0.10804827913350551
Financial Officer,Senior Circuit Design Engineer,Sales Manager Preseller,Import Manager,Project Officer Monitor,Promotion Manager,Embedded Linux BSP Engineer,"Senior QA Engineer, Deep Submicron Department",Software Test Engineer,Senior Developer Team Leader,Medical Representative,0.9599957834817899
"Post Harvest, Processing and Marketing Specialist",Assistant to the Chief,Project Manager for Cross border Programs,Sales Administrator,Web Developer,Junior Prfessional Associate,Service Engineer,Marketing Assistant,Legal Adviser,Employment Services and Labor Inspectorates Expert,Public Relations Team Leader,0.91593316818637
High Value Agricultural Advisor,Food Safety Regulatory Reform Consultant,"Deputy Chief of State Service of Food Safety, SNCOs and","Annual Work Plan (AWP)Coordinator for ""Building Capacity for",English Language Courses,Business Decision Support Officer,"MAAC Forum ""Toward Greater Integrity in Higher Education""",Internet Assessor,Family Physician General Practiti1r in the 5 year Mobile,Controller,Bio Statistician Statistical Analyst,0.6346386970958731
"Post Harvest, Processing and Marketing Advisor",Finance and Procurement Offier EU Funded Program,Java Software Developer,"Senior Expert, Tax and Law Department",PHP Developer,Chief of Construction Supervision Division,Sous Chef,Clinical Psychologist,Accountant,Native Near Native English Teacher,Corporate Banking Manager,0.17957096927212354
"Data Collection, Management and Reporting Advisor",Head of Credit Back Office,Sales Assistant,Junior PHP Developer,Web Engineer,Assistant to the Chief,Branch Manager,Finance Manager,Project Coordinator for Promoting Equal Rights and Equal,Secretary,Clinical Psychologist,0.0636694249723291
Training and Training Materials Advisor,Non Cash Operations Department Specialist,Medical Representative,Financial Specialist,Bellman,Educational Information Fair,Manager (Traffic Account),Billing and Credit Control Consultant,Senior Java Developer,Receptionist Administrative Assistant,Senior Software Engineer,0.5607442154640805
On Farm Water Management Advisor,Software Development Intern,Administrative Executive Assistant,Sales Engineer,IT Specialist (full time),Shop Assistant,Software Engineer,Customer Service Manager,Clinical Psychologist,Head of Reporting & Financial Analysis Division,Fraud and Revenue Assurance Analyst Database Developer,0.45585832498814105
Office Administrator,Chemical Engineer,Senior Java Tester,Project Program Assistant,Developer 2,IT Specialist,Babysitter,Auditor,Treasury Officer,Flasher,Java Developer,0.4599694302429769
Environmental Social Expert,"IN, VAS and Billing Engineer",Assistant Underwriter,UX (User Experience) Designer,Chief Reporting Specialist Accounting Department Reports,Head of Customer Service Unit,Loan Officer,Public Relations Specialist,Driver,Medical Representative,C# Web Developer,0.5010804827913351
Rural Credit Advisor,Procurement and Logistics Specialist,Sales Manager Preseller,Administrative Assistant,Executive Assistant Office Manager,Senior Java Tester,Journalist,Contact Center Project Manager Head,Graduate Trainee for Technical Department,Senior Lawyer,QA Intern Contractor,0.5264850050071154
Lawyer,Controller,Front Office Manager,Online Marketing Developer,Web Engineer,Chief Accountant,Advocacy Specialist,Software Developer,C C++ Software Engineer,Web Application Engineer,Warehouse Shift Supervisor,0.806514520634586
Chief Accountant,Accountant,Senior Auditor,Head of Personnel Department,Reporting Analyst,Purchasing Agent,Legal Research Assistant,Advocacy Specialist,Cashier,Web Engineer,Clinical Psychologist,0.11326622041848944
Assistant to Director,Research and Development Engineer,Sales Manager,Video Clip Editor,Executive Director,Product Manager,Food Safety Regulatory Reform Consultant,Grants Management Specialist,Online Marketing Developer,Place and Route Technical Marketing Engineer,Native Near Native English Teacher,0.20376324250250355
Client Service Assistant,Financial Specialist,Customer Business Development Manager,Store Manager Technical Consultant,Start up Business Trainer,"Software Developer, IT Department",Marketing Specialist,MBA,Loan Officer,Junior Technical Support Specialist,Senior Software Engineer for Mobile and Web Applications,0.8355030833289411
Administrative and Communications Assistant,IT Specialist,Sales Manager,"Leading Specialist, Financial Market Operations Department",English Language Interpreter Translator,Chief Financial Officer,ASP.NET Senior Web Developer,Security Officer,Programmer,Leading Specialist in Cash Operations Division,Gegharkunik Marz Development Manager,0.3167132240552364
Copy Center Operator,Branch Manager,Finance Manager,Secretary,Accounting and Control Officer,Chief Engineer,Chief Accountant,Secretary Receptionist,Administrator Accountant,Web Developer,Marketing Assistant,0.2727033152374427
Chief Accountant,MIS Operator,Senior Circuit Design Engineer,Sales Manager Preseller,Medical Representative,Business Development Consultant at Gyumri Technology Center,Embedded Linux BSP Engineer,Rural Lending Specialist (the Head of Rural Credit Department),Secretary on Disability Issues,Designer,Sales Manager Preseller,0.6234649238391399
Medical Representative,Translator,Junior Exploration Geologist,Broadband Internet Consultant,Specialist of Commercial Affairs Department,ASP.NET Senior Web Developer,Financial Manager Accountant,Purchasing Agent,Reporting Analyst,Cashier,Program Assistant Receptionist,0.23059083961418858
Software Engineer (VB VBA SQL),Real Estate Asset Management Division Head,Project Coordinator for Promoting Equal Rights and Equal,Secretary,Web Designer Developer,"Child Protection Officer, NO 2",IT Specialist,Senior Database Engineer,Shop Manager,System Administrator,Employment Services and Labor Inspectorates Expert,0.7941812048700785
Appraiser,Market Marketing Coordinator Specialist,Trade Officer,Challenges and Opportunities for Armenia in the Context ofRegional and Global Economic ShocksEVENT TYPE: Open Lesson,QA Testing Engineer,Team Lead: Workforce and Entrepreneurship Development,Cisco Specialist,PHP Trainer,Branch Manager,"Senior Specialist of Training and Development Group, Human",Medical Representative,0.6572497759974701
Loan Officer,Chief Accountant,"Software Engineer, Design to Silicon Division",Online Marketing Developer,Director of Finance,Senior Java Tester,PHP Web Software Developer,Internal Communication Specialist,Import Manager,Mid Level Software Developer,Oracle Database Administrator,0.38902651135824595
Program Assistant. Development of Organizational Capacities,DSP Engineer,Administrative Assistant Translator,Deputy Chief Engineer,Assistant to the Chief,Non Cash Operations Department Specialist,Educational Information Fair,Medical Representative,Chief Specialist on Operational Risk Analysis and Expertise,Public Relations Specialist,Financial Specialist,0.5481473673114425
ASP.Net C# C++ Software Developer,Chief Financial Officer,IT Specialist,Tourism Manager,Marketing Methodology Developer,Assistant to the Prime Minister of RA Macroeconomist,Head of Communications Department,Energy Specialist,Manager (Traffic Account),Sales Manager,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,0.026405945290676223
Systems Administrator,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Promotion Manager,Chief Accountant,Medical Representative in Yerevan,Account Supervisor,Web Designer Developer,0.9484530648816739
Mobile Billing Operations Division Head,Sales Manager,Deputy Chief Accountant,Chemist of Chemical Scientific Research Laboratory,Controller,Senior Software Engineer,Office Assistant Secretary,English Language Courses,Accountant,PHP Software Developer,Project Manager for Cross border Programs,0.11769356453908185
Support Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.39756496073367414
Unix Systems Administrator,Web Designer Developer,Software Developer,Methodology Group Senior Specialist,Administrative Assistant,Deputy Director of Administration,Head of Sales Service Mass Segment,Tester Quality Assurance Engineer,Technical Support Engineer,Chief Accountant,Assistant to the Prime Minister of RA Macroeconomist,0.2595794023085437
Senior Software Engineer,Medical Representative,Web Designer,Contractor Intern,Public Relations Responsible,Billing and Credit Control Consultant,Shop Manager,IT Reporting Team Leader,Medical Representative,Secretary on Disability Issues,Designer,0.3989353291519528
Housekeeper Babysitter,Expert on Public Outreach,Senior Java Tester,QA Engineer,"Coordinator, Local Governance Programme South Caucasus, North",Web Developer,Water Supply and Sewerage Systems Specialist,Visual Merchandiser,Senior Auditor,Multimedia Journalist,Deputy CEO,0.20771622832446107
Chief Financial Officer,Web Developer,Executive Assistant,Field Officer for Turpanjian Rural Development Program (TRDP),Cashier,Martuni Branch Manager,Family Physician General Practiti1r in the 5 year Mobile,Software Development Director,"MAAC Forum ""Toward Greater Integrity in Higher Education""",General Manager,Java or C++ backend developer for Lycos Communities,0.43735835134137985
