label,rank,0,1,2,3,4,5,6,7,8,9
senior accountant,0.8528883481,loan officer vanadzor branch,programmer,accountant,national legal expert,chief accountant,business consultant payments,junior web mobile qa analyst,information education communication iec assistant,driver,c/c++ software developer
marketing division specialist,0.8528883481,programmer,head personnel training division,android developer,it reporting engineer,commercial representative,apprentice intern web developer,java software developer,leading system development support specialist,project manager,c software developer
accountant,0.8531201112,credit officer,legal advisor,regional retail executive,frontend developer,administrator/ coordinator,commercial project manager,chief financial officer,head reporting block,senior circuit design engineer,executive director
sales manager,0.8531201112,energy consultant project management unit,market development manager/ preseller,social worker emergency support syrian refugees program,java software developer,senior java developer,hrazdan credit specialist,technical specialist/ team leader civil society engagement,senior analyst mobile network troubleshooting,tour manager,gavar branch manager
operations manager,0.8538154007,project manager,head credit monitoring division,senior accountant/ systems administrator,head personnel training division,manager accounting department,head sales service department,database content management system developer,teller zvartnots branch,3d generalist,it specialist
building systems engineer,0.8538154007,systems manager,brand manager,head credit back office,system architect,project manager,receptionist/ admin assistant,innovations quality unit senior specialist development,senior software architect,marketing assistant,project/ component coordinator
legal policy expert,0.8541051046,head personnel training division,software engineer,apprentice intern web developer,java software developer,head operational unit kapan branch,hr/ admin intern,chief party,key account manager,economic development specialist,tourism manager
innovations quality unit specialist,0.8545106901,shop/ salon assistant,senior qa analyst/ functional testing,senior android developer,c/ c++ software engineer,medical representative,software qa engineer,credit officer,network administrator,iphone application developer,service specialist
financial director charge accounting,0.8550321571,industrial/ graphic designer,finance controller,deputy commercial director,legal counsel,lawyer,head human resources department,business advisor/ specialist,qa engineer,appraiser,android application developer
software quality assurance engineer,0.8552639203,qa engineer,head mechanics,seller,medical doctor,customs specialist,construction director,quality control supervisor,project manager,lead software engineer design silicon division,showrooms salesman
customer support specialist,0.8553218611,php developer,telecommunications engineer,qa engineer,sociologist,supply manager,head fraud management revenue assurance division,credit officer /individual business crediting/,mobile access networks planning optimization engineer,interviewer statistics department,communication service center csc agent
teller/ operational unit stepanakert branch,0.8554377426,sports coordinator,outgoing tour manger,it/ billing engineer,project manager,senior ict advisor,english language interpreter/translator,accountant,chef official residence u.s ambassador armenia,executive assistant,accountant
economic justice programme officer,0.8555536242,chief gardener,social worker disability resource center spitak,security team leader,qa engineer deep submicron department,software qa engineer,office administrator,compensation benefits specialist,it manager,short term expert eu targeted initiative armenia,senior accountant
national expert marketing textile garment sector,0.8558433281,data processor,associate economics analyst,capex accountant,accountant,c++ senior software developer,dealer financial department,graphic designer/ developer,retail manager,java web developer,project management unit procurement specialist
web designer,0.8562489136,software developer,web ui developer,legal advisor,designer product development unit,administrative coordinator/ pre service training,sales marketing manager,information officer,executive assistant ceo,business community facilitator,program/ finance officer
marketing specialist/ component leader,0.8568862622,telecommunications engineer,showrooms salesman,director engineering,java developer,postal operator kotayk branch,medical representative armenia,php developer,executive assistant,chief security,monitoring evaluation assessment learning sharing team
tender specialist,0.8570021438,head mechanics,qa engineer,software engineer,head personnel training division,sales marketing manager,key account manager,development director,distance customer service specialist,specialist legal department,legal officer
it specialist system admin,0.8571180254,lawyer,deputy chief accountant,sales/ medical representative,non-communicable diseases ncd advisor,medical representative nagorno karabakh,medical sales representatives,customs broker,chief accountant,senior specialist small lending department,director fund
board directorate secretary,0.8572339069,user experience specialist,head waiter/ waitress,transport department operator,team lead business enabling environment,c++ software developer,software engineer,senior banking regulatory specialist,rural roads rehabilitation project specialist,network security administrator,junior c++ engineer
staffing officer human resources organizational development,0.8575815517,mobile access networks planning optimization engineer,java developer,relationship manager large enterprise finance unit,programme assistant,system architect,project manager,brand manager,receptionist/ admin assistant,hr specialist,program intern
senior legal expert,0.8576394924,public outreach/ training assistant,senior software architect,branch manager stepanakert branch,chief specialist,telecom technical installer,senior r d engineer i,chief financial officer,senior web developer,chief accountant,software engineer
billing analyst,0.8579291964,financial analyst,telecommunications engineer,procurement manager,medical representative shirak,it specialist,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,chief accountant
lawyer,0.8585086042,credit officer /individual business crediting/,head fraud management revenue assurance division,it specialist,interviewer statistics department,head personnel training division,administrative intern,loan officer kajaran branch retail banking unit,team lead/ senior java software developer,head credit monitoring division,community health education technical coordinator pre-service
store manager,0.8586244858,social worker disability resource center spitak,personal assistant ceo,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,php developer,chief gardener,monetary economist,compensation benefits specialist
chemist,0.8587983081,marketing pr specialist,industrial/ graphic designer,marketing manager,senior java developer,sales/ medical representative,interpreter,designer,senior accountant/ systems administrator,warehouse shift supervisor,cardholder relationship management division specialist card
qa engineer,0.8589721305,senior qa engineer,newswriter,credit specialist artashat,.net developer,head dealing operations department,civil society program officer,head legal service,civil society program officer,financial manager,php developer lycos hosting
project coordinator,0.8590880121,it specialist,assets liabilities management unit specialist,retail salesperson/ sales consultant,office manager,head retail banking wealth management rbwm,medical representative,national professional officer no-b,head personnel department,trade prosperity officer,corporate collections head
food safety specialist,0.859377716,business financial analyst,manager masis branch,mechanical engineer,procurement/ logistics officer,audit assistant,frontend developer,it administrator,senior software developer,operator/ shop assistant,accountant
underwriter,0.8597253607,field coordinator tass test,head cards issuance maintenance unit operations general,product manager,national coordinator,software engineer,chief accountant,business intelligence analyst marketing department,national expert technological limitation emissions,credit analyst,project engineer
procurement manager,0.8604206501,java developer,import logistics manager,grant specialist,showrooms salesman,procurement manager,medical representative shirak,administrative assistant,database/ software architect,relationship manager large enterprise finance unit,specialist receivables management department
technical service manager,0.8605944724,intern/ system administrator,journalist,lawyer,junior expert fellow media monitoring analysis,software developer,quality assurance engineer validation department,accountant,designer,sales person,software engineer database department
technical chinese reader,0.8611159395,head credit back office,medical representative,asp.net software developer,solution sales manager,research analyst,medical representative yerevan,php developer,sales manager,hr specialist,category manager
secretary/ receptionist,0.8613477026,credit specialist artashat,hotel manager,customer relations sales manager,category manager,state forest management component coordinator,marketing manager,senior qa engineer validation department,senior graphic designer,project assistant,junior associate euag advisor law enforcement
supermarket deputy ceo,0.8622168144,financial products specialist,administrative assistant/ receptionist,announcements moderator,head dealing operations department,senior accountant,personal assistant ceo,administrative secretary,mobile application developer,marketing assistant,food beverage supervisor
quality control assurance engineer,0.862332696,senior accountant/ systems administrator,analyst,c .net backend developer,android developer,manager accounting department,community health education technical coordinator pre-service,lawyer,publicity agent,technical manager,financial/ administrative manager
receptionist,0.8625065183,nss engineer,treasurer,showrooms salesman,product manager,medical doctor,customs specialist,construction director,community health education technical coordinator pre-service,office manager,administrative manager
director shen decor chain stores,0.8626223999,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,qa engineer deep submicron department,social worker disability resource center spitak,qa engineer/ tester,senior backend engineer,javascript developer,head computing facilities operations maintenance division
junior software developer,0.8626223999,head human resources department,sales coordinator,accountant,driver,head fraud management revenue assurance division,banking services manager vanadzor branch,field office accountant,it specialist,programmer it development department,c/ c++ software engineer
credit analyst medium client,0.862854163,financial manager,personal assistant ceo,database administrator,accountant assistant/ cashier,operations manager,corporate sales associate,assistant management advisory services and public relations,it administrator,programmer,assistant director
deputy chief party,0.8630859262,armenian bank expert,community health education technical coordinator pre-service,account manager,teaching english foreign language tefl technical,sales manager/ preseller,qa engineer,java junior developer,head analytical department,it engineer,logistics manager
sales manager,0.863143867,php developer,chief party,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer
hr manager,0.8632597485,php developer,english language instructor,draftsman,senior database engineer,ux designer,intern world vision south caucasus communications department,programme assistant,seller,operator/ cashier,supply manager
lawyer,0.8633176893,iphone application developer,head internal audit,sales marketing specialist,system architect,legal expert,vocational training expert technical assistance mission,contract officer,assistant director,doctor-expert,administration supervisor
receptionist/ administrative assistant,0.8634915117,seller,php developer,chief financial officer,frontend developer,senior r d engineer,draftsman,senior database engineer,intermediate database developer,food technologist,project coordinator
election co-ordination consultant,0.8635494525,software qa engineer,credit officer,project team assistant,layout design engineer ii/ asic,software developer,corporate collections head,head personnel department,trade prosperity officer,procurement officer,field coordinator tass test
dealer dealing center trading department,0.8636073932,software integration engineer,supply manager,marketing specialist,local government finance technical advisor,network administrator,program officer cross-border trade philanthropy programs,sales representative preseller,finance officer,teller,php developer
flash developer,0.8638970972,tavush area development program adp manager,social worker,financial manager,manager masis branch,software developer,sales support manager,marketing pr specialist,international sales manager,system administrator,ict specialist
fundraising specialist,0.863955038,software engineer/ ui developer,network switching operation systems engineer,c software developer,information communication officer social media/ editorial,assistant accounting department,head retail banking wealth management rbwm,assistant trainer linux networking,administrative assistant,managing director,extended term consultant/ senior highway engineer
customer relations manager,0.8645344458,it support engineer,mid-level php developer,flash/ as3 developer,sociologist,civil engineer,product manager,contact center intern,qa analyst,translator,lawyer
it engineer,0.8648241497,php developer,telecommunications engineer,sociologist,mill crusher conveyer operator,marketing manager,software backend developer,chief party,expert international law,financial analyst,junior lawyer
tour travel german language agent,0.8649979721,event/ btl manager assistant,system architect,procurement specialist,office manager,assistant national director,java web developer,distribution manager,senior web developer,javascript developer/ professional,tax policy expert
public affairs director,0.8661567878,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,.net software developer,communications executive/ pr specialist,head risk management division,research analyst,medical representative yerevan,php developer
business analyst,0.866910018,contractor/ intern,promotion specialist,import documentation specialist,key account manager,lead software engineer design silicon division,receptionist,call center specialist,junior database developer,customer service representative,development assistant
accountant,0.8676053074,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,chief party,programme assistant,.net software developer,communications executive/ pr specialist,project coordinator,training specialist coordinator
head it department,0.8678950113,warehouse director,distant banking services expert,back office manager,project engineer,hr generalist,html specialist,pharmacist,sqa engineer,underwriter non-personal lines insurance,driver
.net senior software developer,0.8680688337,head mechanics,network administrator,software qa engineer,credit officer,qa engineer,c/ c++ software engineer,procurement specialist,electronics engineer,key account manager,medical representative
senior php developer,0.8687641231,transmission network planning engineer,environmental officer,senior php zend2 developer,senior research development engineer,programmer,vice-president mergers acquisitions unit,accounting assistant,senior accountant,biological reference sample collection brsc field officer,administrative coordinator/ pre service training
software developer .net c,0.8692855901,community health education technical coordinator pre-service,teaching english foreign language tefl technical,product manager,internal audit manager,ios developer,sales/ medical representative,social worker disability resource center spitak,showrooms salesman,lawyer,chief/ supervisor programs department
medical representative,0.8701547019,senior specialist banking operations monitoring division,communication assistant,program consultant,system analyst,tax administration specialist/ component 2 team leader,software engineer layout processing department ya,medical representative,translator,journalist,national assistant finance officer
reporting quality consultant,0.8709079321,specialist legal department,administrative assistant/ translator,international project coordinator,it specialist,head operational unit kapan branch,hr/ admin intern,retail salesperson/ sales consultant,loan officer,senior information security engineer,back office specialist operational unit sayat nova branch
heating system specialist boiler house,0.871197636,medical representative yerevan,c .net backend developer,showrooms salesman,php/ drupal developer,manager post-harvest processing marketing component,contractor/ intern,network management centre engineer,information program coordinator,analytics manager,project manager/ scrum master
auditor internal audit department,0.8713714584,branch manager,engineer martuni,operator/ cashier,draftsman,senior database engineer,seller,local representative,english language instructor,translator,medical representative
accountant,0.872008807,community health education technical coordinator pre-service,teaching english foreign language tefl technical,credit officer /individual business crediting/,hr administrator,c developer,head analytical department,electrician,associate operations officer/operations officer,database developer,chief accountant
community nurse,0.8721826294,assistant director,`` migration development '' project manager,frontend developer,legal counsel,industrial/ graphic designer,head reporting unit,production operator,base senior c/c++ developer,php developer,electrical engineer
billing specialist,0.8725882148,php developer,telecommunications engineer,experienced it specialist/ information security officer,java software developer,sociologist,radio network planning engineer,medical representative,program officer,office internal auditor,senior c++ developer
chief executive officer ceo,0.8729938003,administrative data reporting senior specialist,corporate sales specialist,receptionist/ administrative assistant,it/ database specialist,specialist report payment account transactions division,graphic designer web/print,medical representative,teller zvartnots airport branch,head dealing operations department,election coordinator
web designer,0.873341445,php developer,monitoring evaluation specialist,head computing facilities operations maintenance division,head fraud management revenue assurance division,chief/ supervisor programs department,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,medical representative
activity examiner game development,0.8742105568,sales analyst,stepanakert branch manager,ict specialist,frontend developer,international relations logistics specialist,medical representative armenia,visual display manager,customer service representative,development assistant,expert restoration forest landscapes
head corporate networks management department,0.8747320239,manager accounting department,hiv/aids prevention among lgbt officer,brand manager,senior r d engineer,chief accountant,agriculturist,project manager,assistant general director,.net developer,user interface/ web designer
software developer,0.8747320239,secretary,air-conditioning system technician,communication supervisor,mobile access networks planning optimization engineer,administrative/ executive assistant,senior advisor private sector development,telecommunications engineer,php developer,senior financial analyst,head current customer affairs unit
technical support team manager,0.8752534909,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,it engineer,transport manager,driver,accountant,internal auditor,customs broker
accountant/ financial officer,0.8764123066,telecommunications engineer,nss engineer,treasurer,showrooms salesman,administrative assistant,mid-level front end developer,marketing expert fixed business convergent solutions,chief financial officer,import logistics manager,grant specialist
software developer c c++ .net,0.8769917145,telecom implementation site engineer/ supervisor,network administrator,medical representative,software qa engineer,credit officer,head mechanics,national coordinator,c/ c++ software engineer,it specialist/ system administrator,credit analyst
water programme manager,0.8770496553,financial manager,social worker,region managers,analyst,marketing manager,staff manager/ director,merchandiser,software developer,industrial/ graphic designer,system administrator
chief accountant,0.8775131815,secretary,air-conditioning system technician,communication supervisor,it specialist,procurement manager,medical representative shirak,maintenance engineer,java developer,property manager,operations manager
national expert textile garment production quality,0.8777449447,secretary,air-conditioning system technician,communication supervisor,relationship manager large enterprise finance unit,system administrator,administrative/ executive assistant,senior advisor private sector development,draftsman,senior database engineer,customer service representative
logistic manager,0.8778028855,c .net developer,asp.net developer,database content management system developer,teller zvartnots branch,head sales service department,senior .net developer,assistant construction supervisor automation system,social expert/ project officer,c++/ c senior developer,publicity agent
asp.net software developer,0.8778608262,chief party,sociologist,php developer,software backend developer,financial analyst,teaching english foreign language tefl technical,radio network planning engineer,medical representative,project assistant,senior customer care manager
assistant pr advertising manager,0.8780346486,associate economics analyst,capex accountant,legal expert,commercial director,system administrator/ general specialist,accountant assistant/ cashier,quality assurance engineer,accountant,c++ senior software developer,dealer financial department
business advisor,0.8782664117,sales promotion banking guarantees division specialist,chief financial officer,administrative assistant,junior test engineer,windows device drivers senior engineer,senior accountant,director assistant,rta language assistant,trade marketing assistant,chemist
grants manager,0.8785561156,android application developer,customer services clerk/teller,marketing specialist,medical representative,systems analyst,pr marketing manager,pr junior specialist pr marketing development department,banking services manager vanadzor branch,leading system development support specialist,medical representative
project specialist,0.8785561156,personal assistant ceo,system administrator,social worker disability resource center spitak,chief gardener,lawyer administrative legal litigation practice unit legal service,compensation benefits specialist,it manager,software developer,qa engineer deep submicron department,programmer
radio engineer,0.8786140564,receptionist/ admin assistant,.net software developer,communications executive/ pr specialist,monitoring evaluation officer,programme assistant,category manager,web developer/ designer,business manager,driver/ clerk,finance administration director
it service desk administrator,0.878729938,software integration engineer,intermediate java developers,secretary/ translator,project assistant,rental agent,branch manager,outgoing tour manger,network administrator,sports coordinator,promotions manager
small medium business programs developer,0.8793672866,mid-level php developer,accountant,marketing/ sales manager,dba/ ms sql developer,commercial banking relationship manager,traffic order processing coordinator,senior accountant/ deputy chief accountant,public relations/ public education manager,photographer,senior cloud developer
head individual premium client managers ' service,0.8793672866,resident twinning advisor rta assistant,php developer,innovations quality unit senior specialist development,senior research development engineer -2,it manager,network administrator,it support administrator,interviewer statistics department,retention loyalty consultant,procurement specialist
project driver gs-2,0.8795990498,base senior c/c++ developer,medical representative,systems analyst,director restaurant complex,lawyer,accountant,php developer,electrical engineer,finance controller,deputy commercial director
c++ senior software developer linux,0.8795990498,software projects specialist,english language instructor,training development specialist,key account manager,sales/ office coordinator,specialist customer transactions formalization division,junior database developer,head mechanics,android developer,head personnel training division
office manager,0.8798887537,public relations pr specialist,telecommunications engineer,mobile access networks planning optimization engineer,deputy chief accountant financial reporting,senior software testing engineer,senior financial analyst,marketing sales manager,showrooms salesman,accountant,receptionist/ office administrator
sales director,0.880062576,office manager,project manager,head personnel training division,accountant,assets liabilities management unit specialist,driver/ logistics assistant,system administrator,shop assistant,policy quality assurance expert youth,head retail banking wealth management rbwm
pricing merchandise specialist,0.8804681615,retention loyalty consultant,project manager,graphic designer,supply manager,director,web developer,head fraud management revenue assurance division,sqa engineer/ intern,it specialist,sociologist
pre-sales specialist,0.8805261023,credit officer,senior .net developer,senior project officer directorate general democracy,medical representative yerevan,it specialist,3d generalist,social expert/ project officer,head credit monitoring division,head sales service department,hr representative ii
commercial director,0.8806419839,showrooms salesman,head mechanics,community health education technical coordinator pre-service,android developer,marketing expert fixed business convergent solutions,qa engineer,teaching english foreign language tefl technical,manager accounting department,legal counsel,expert privileged pensions
macroeconomist monetary policy department,0.8806999247,java developer,pre-seller,switching senior engineer,psychologist,store manager,radio network planning engineer,medical representative,announcements moderator,php developer,national project coordinator
medical representative,0.8809316878,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,php developer,country manager,frontend developer,business analytics specialist,credit officer /individual business crediting/,security guard
expert conducting assessment,0.8809316878,php developer,telecommunications engineer,store manager,marketing manager,programme assistant,chief party,advanced .net developer,junior lawyer,mill crusher conveyer operator,expert international law
business software consultant,0.8812213917,business analyst,lawyer,marketing communications manager,electrical engineer,pr specialist,coordinating controller delivery department,bed breakfast manager,front-end developer,medical representative,asp.net software developer
correspondent banking international payments specialist,0.8812793325,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,visual display manager,it engineer,transport manager,driver,accountant,internal auditor
project/ component coordinator,0.8813372733,project manager,frontend developer,programmer,real estate broker,frontend developer,msf cabinet secretary/ translator,senior accountant,water engineer,customer support engineer,office manager/ engineer
software development manager,0.881684918,deputy director/ deputy project manager,team lead web application development design,driver replacement,targeted workplan coordinator,safety environmental officer,chief accountant,waiter/ waitress,front-end developer,junior legal assistant,designer product development unit
lawyer,0.8819166812,customer service representative,development assistant,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,procurement specialist,head corporate key clients state bodies cooperation group,visual display manager,administrative assistant
accountant,0.8824381482,assistant general producer,vice-president mergers acquisitions unit,retail salesperson/ sales consultant,physicist engineer,software engineer,assets liabilities management unit specialist,team lead web application development design,software engineer/ qa,assistant chief accountant,tourism manager
receptionist,0.8827278521,brand manager,showrooms salesman,senior android developer,chief accountant,teller,community health education technical coordinator pre-service,qa engineer,lead software engineer design silicon division,teaching english foreign language tefl technical,retention loyalty consultant
qualitative experts/ field researchers,0.8842343125,program support assistant,quality control supervisor,financier,legal/ contract administration specialist,lawyer,web developer,key account manager,it specialist,chief accountant,national consultant/ contractor
web developer,0.8844660757,lawyer,assistant director translator/ interpreter,php programmer,human resources organizational development manager,senior software developer,legal counsel,engineering manager deep submicron department,hotline operator,advocacy gender expert,web developer
consultant,0.8845240165,product specialists medical devices diagnostics md d,interpreter,system/ db administrator,credit risk officer,hr manager,construction project manager,administrative assistant,family physician/general practitioner 5-year mobile,mis consultant aregak micro credit program,projects coordinator
senior qa engineer validation department,0.884639898,telecommunications engineer,php developer,mobile access networks planning optimization engineer,java developer,procurement manager,medical representative shirak,sociologist,import logistics manager,grant specialist,specialist receivables management department
heating systems sales manager,0.8846978388,.net developer,user interface/ web designer,adp economic development officer,project engineer,hiv/aids prevention among lgbt officer,android developer,expert privileged pensions,assistant head development branch management unit,loan officer vanadzor branch,programmer
java software engineer,0.8849296019,public relations pr specialist,senior credit officer,office internal auditor,telecommunications engineer,senior financial analyst,financial analyst,financial control payments clerk,tester/ qa engineer,cashier,business cooperation division head
cashier,0.8852193059,program budgeting trainer,executive director,project manager,programme assistant,store manager,national project coordinator,tender specialist,child welfare advocacy officer,user experience specialist,head sme department
quality assuarance manager,0.8852772467,expert logistics coordinator,head fraud management revenue assurance division,banking services manager vanadzor branch,research development engineer,programmer technological process automated control system,risk management senior specialist,economic justice programme officer,project coordinator,country manager,webmaster/ information technologies specialist
short-term consultant legislation field local self-government,0.8858566545,health analyst,coordinator corporative business sales,cook,chemist/ analyst,administrative/ finance associate,manager,reporting analyst,preseller,director finance,program manager
credit officer,0.8862042992,programme office manager,java developer,legal counsel,head computing facilities operations maintenance division,chief accountant,showrooms salesman,engineer martuni,administrative assistant,hvac engineer,security clerk
marketing specialist,0.8866098847,synthesis chemist,contractor/ intern,legal expert,retention loyalty consultant,advertising manager,senior project officer directorate general democracy,amasia transformational development facilitator,sales manager,head investors relation,computer salesman
software developer,0.8871313518,apprentice intern web developer,java software developer,financial advisor,market development manager/ preseller,programme assistant,retail salesperson/ sales consultant,teller,energy consultant project management unit,sme loan officer stepanakert branch,cashier
it manager assistant,0.887594878,php developer,pediatric nurse research study,senior java developer,teaching english foreign language tefl technical,associate finance administrative officer maternity cover,project accountant,telecommunications engineer,corporate trainer,reporting mis specialist,c++ software engineer
country coordinator,0.8880004635,national project coordinator,tender specialist,child welfare advocacy officer,user experience specialist,head sme department,qa analyst,graphic design modeling specialist,program budgeting trainer,executive director,software engineer
sales manager,0.8891013384,head large business division,senior software engineer design silicon division,merchandize manager,executive director,head recruitment division/ deputy hr manager,verification engineer,head department marketing methodology banking,assistant general director,it support engineer,sales manager
car administrative coordinator,0.8891592792,layout design engineer ii/ asic,head personnel training division,production manager,lawyer,shop assistant,audit intern,general cashier,head personnel department,trade prosperity officer,graphics designer
product manager liabilities commission services division,0.8897966278,public relations/ public education assistant,technical manager,hiv/aids prevention among lgbt officer,secretary fsn-5 fp-9*,research development engineer,information education communication iec assistant,.net developer,user interface/ web designer,adp economic development officer,project engineer
financial controller,0.8899125094,senior reporting specialist,corporate trainer,hr coordinator,preseller,export manager,head monetary policy operations unit financial department,sales manager,organizational support department manager,ip network engineer,deputy chief accountant
c/ c++ software developer,0.8902022133,assets liabilities management unit specialist,loan officer,national coordinator,procurement officer,specialist legal department,medical representative,medical representative,business intelligence reporting developer,implementation unit monitoring evaluation officer,legal advisor
product manager,0.8907236804,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,intermediate database developer,head computing facilities operations maintenance division,administrative assistant,php developer,marketing specialist,receptionist/ administrative assistant
administrative assistant,0.8907816212,systems manager,team leader global fund hiv/aids,national team manager,transmission supervisor,communication advertising specialist,service engineer/ mechanic,south caucasus finance officer,pre-service training community youth development cyd,ruby developer,cost analyst
assistant general producer,0.890839562,senior credit officer,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer,mid-level front end developer
game developer,0.8909554435,software engineer,head mechanics,customer service representative,development assistant,qa engineer,team lead/ senior java software developer,sales agent,procurement specialist,head personnel training division,distance customer service specialist
customer support engineer,0.8911872067,java developer,mobile access networks planning optimization engineer,showrooms salesman,telecommunications engineer,senior web developer,security clerk,php developer,tefl technical coordinator short tirm pre-service,administrative information reporting division head,administrative/ supply assistant
.net developer,0.8915348514,flash/ as3 developer,sociologist,chief financial officer,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,head internal control,category manager,frontend developer
sales marketing manager,0.8917086737,php developer,marketing manager,telecommunications engineer,chief party,sociologist,monitoring evaluation officer,supply manager,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer
branch manager,0.8918824961,head internal control,software developer,chief financial officer,corporate sales manager,qa engineer deep submicron department,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,personal assistant ceo
senior software engineer,0.8918824961,vice-president mergers acquisitions unit,computer network communication specialist,medical representative,branch corporate loan officer,project assistant,receptionist,gyumri area development program manager,data quality developer,chief accountant,software developer
assistant,0.8919983777,senior credit officer,programme assistant,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer
c++ senior software developer,0.8921722,analyst,technical adviser,sales representative,lawyer,chauffeur fsn-3 fp-bb*,appraiser,local governance expert/ municipal services,customers service department manager vanadzor branch,restaurant manager,transformational development facilitator
teller branch artashat,0.8921722,lawyer administrative legal litigation practice unit legal service,english language instructor,head internal audit,head anti-money laundering terrorism financing prevention division,android developer,system administrator,senior specialist banking operations unit,chief accountant,manager child family support cfs program,lawyer
credit analyst,0.8925198447,head computing facilities operations maintenance division,translator,qa engineer,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,public relations pr specialist,junior lawyer,php developer
accountant,0.8926936671,it specialist,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,accounting tax manager,auditor,financial control payments clerk,ms sql database developer,secretary
graphical/ computer designer/ webmaster,0.8926936671,.net developer,chief party,advanced .net developer,java developer,fraud management senior specialist,food production technologist,program budgeting trainer,executive director,programmer,mobile eye hospital meh assistant
head payment account operations group/ chief specialist,0.8928674894,project accountant,telecommunications engineer,qa engineer,senior software engineer,specialist receivables management department,network management centre engineer,office internal auditor,food beverage manager,pediatric nurse research study,financial control payments clerk
sales manager,0.8928674894,qa engineer,senior c++ engineer,senior r d engineer,national consultant statistics,administrative assistant,marketing specialist,procredit young bankers program,senior c++ developer,medical representative,rating billing control specialist
loan controller,0.8933310157,driver,medical representative,lawyer,procurement officer,national coordinator,quality control supervisor,program support assistant,marketing sales section manager,wpf developer,administrator information security management division
assistant general manager,0.8939104235,chief party,financial analyst,php developer,mill crusher conveyer operator,telecommunications engineer,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist,management consultant
sme finance advisor,0.894605713,senior software engineer database department,marketing manager,sponsorship coordinator amasia area development program,office manager,corporate business sales promotion director,fundraising specialist,accountant,technical manager,head water flow meter maintenance service,senior country coordination officer
head foreign languages chair,0.894605713,chief/ supervisor programs department,director engineering,production operator,director restaurant complex,community health education technical coordinator pre-service,teaching english foreign language tefl technical,chief accountant,legal counsel,social worker disability resource center spitak,marketing specialist
short term expert eu targeted initiative armenia,0.8947215945,program intern,`` sustainable management biodiversity southern caucasus '',loan officer,training coordinator center innovative solutions,layout engineer,.net software developer,communications executive/ pr specialist,fraud management senior specialist,food production technologist,chief party
fraud manager,0.89512718,technical manager,layout engineer,secretary fsn-5 fp-9*,food security specialist,senior system engineer,intern/ system administrator,qa engineer,internal auditor,interviewers market research 6 positions short term,social worker disability issues
reporting mis specialist,0.8954748247,senior accountant,senior procurement officer/ team leader,loan specialist,branch senior cashier,c software developer,national expert study vulnerability armenia,c++ senior software developer,chief accountant,customer support engineer,training manager
telecommunications engineer,0.895938351,programmer,mobile eye hospital meh assistant,finance adminstration manager,corporate finance unit senior specialist,trust management unit senior specialist,head legal services,chief director,c .net developer,accountant,computer digital appliances seller
marketing support engineer telecommunication,0.8962859957,accountant,director,head fraud management revenue assurance division,section manager store,expert restoration forest landscapes,product manager,industrial/ graphic designer,java developer,qa engineer,lawyer
head marketing department,0.8964598181,personal assistant ceo,social worker disability resource center spitak,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,qa engineer/ tester,senior backend engineer,qa engineer deep submicron department,javascript developer
software developer,0.8964598181,head personnel training division,legal officer,software engineer,specialist legal department,head mechanics,project team assistant,key account manager,project manager,head operational unit kapan branch,hr/ admin intern
card service unit specialist,0.8966336404,manager operating,senior qa engineer,accountant,sector coordinator,policy government engagement specialist,intern/ system administrator,editor assistant ceo,senior java software developer,language assistant g5,business development assistant
frontend developer,0.8968654036,policy quality assurance expert youth,lawyer,project assistant,project manager,administrative/ exams assistant,psychologist,asp.net developer,transmission/ ip engineer,office manager,head personnel training division
finance/ hr manager,0.8970392259,php developer,telecommunications engineer,head office/ program coordinator,back office manager,marketing manager,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,accountant
